new_cases,total_cases,total_deaths,new_deaths
63,584,7,2
57,641,7,0
76,717,8,1
105,822,8,0
104,926,9,1
65,991,10,1
67,1058,11,1
40,1098,11,0
1,1,0,0
0,1,0,0
2,3,0,0
1,4,0,0
0,4,0,0
0,4,0,0
0,4,0,0
0,4,0,0
1,5,0,0
4,9,0,0
0,9,0,0
2,11,0,0
3,14,0,0
0,14,0,0
1,15,0,0
6,21,1,1
3,24,1,0
0,24,3,2
4,28,4,1
1,29,5,1
4,33,5,0
3,36,6,1
4,40,7,1
1,41,8,1
1,42,8,0
4,46,8,0
1,47,8,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,0,0
1,2,0,0
21,23,0,0
10,33,0,0
0,33,0,0
5,38,0,0
3,41,0,0
6,47,0,0
2,49,0,0
3,52,0,0
0,52,0,0
4,56,0,0
7,63,0,0
16,79,0,0
30,109,0,0
1,110,0,0
52,162,0,0
0,162,0,0
48,210,0,0
1,211,0,0
3,214,0,0
7,221,1,1
16,237,1,0
19,256,1,0
13,269,1,0
16,285,1,0
21,306,1,0
28,334,2,1
5,339,2,0
51,390,3,1
29,419,3,0
39,458,4,1
8,466,4,0
7,473,4,0
27,500,4,0
15,515,4,0
52,567,4,0
2,569,4,0
74,643,4,0
0,643,4,0
45,688,4,0
12,700,4,0
56,756,4,0
55,811,5,1
12,823,5,0
64,887,5,0
111,998,6,1
42,1040,6,0
96,1136,6,0
3,3,0,0
0,3,0,0
2,5,0,0
3,8,0,0
2,10,0,0
0,10,0,0
7,17,0,0
7,24,2,2
3,27,3,1
6,33,3,0
6,39,4,1
0,39,5,1
9,48,5,0
0,48,5,0
0,48,5,0
1,49,5,0
0,49,5,0
2,51,5,0
3,54,6,1
2,56,6,0
5,61,6,0
9,70,8,2
18,88,9,1
35,123,12,3
41,164,17,5
54,218,20,3
112,330,21,1
94,424,27,6
58,482,30,3
139,621,34,4
1,1,0,0
0,1,0,0
1,2,0,0
4,6,0,0
8,14,0,0
3,17,0,0
0,17,0,0
1,18,0,0
0,18,0,0
6,24,0,0
0,24,0,0
2,26,0,0
7,33,0,0
1,34,0,0
0,34,0,0
11,45,0,0
0,45,0,0
0,45,0,0
6,51,0,0
5,56,1,1
4,60,2,1
3,63,3,1
0,63,3,0
3,66,3,0
1,67,4,1
1,68,4,0
3,71,4,0
