North Macedonia,1367,41,374,934,656,28,59,2
Cuba,1337,52,437,849,118,5,51,2
Ghana,1279,0,134,1135,41,0.3,10,0
Bulgaria,1247,59,197,995,179,8,55,1
Nigeria,1182,87,222,925,6,0.2,35,3
Ivory Coast,1077,0,419,644,41,0.5,14,0
Hong Kong,1038,2,753,281,138,0.5,4,0
Djibouti,1008,9,373,633,1020,2,2,0
Guinea,996,42,208,781,76,0.5,7,1
Tunisia,939,17,207,694,79,3,38,0
Cyprus,810,6,148,648,671,12,14,0
Bolivia,807,104,54,709,69,4,44,1
Latvia,804,20,267,525,426,6,12,0
Andorra,738,7,344,354,9552,518,40,0
Albania,712,34,403,282,247,9,27,0
Diamond Princess,712,0,645,54,0,0,13,0
Lebanon,704,8,143,537,103,4,24,2
Costa Rica,693,6,242,445,136,1,6,0
Niger,684,3,325,332,28,1,27,3
Kyrgyzstan,665,9,345,312,102,1,8,0
Burkina Faso,629,0,442,146,30,2,41,0
Senegal,614,69,276,331,37,0.4,7,0
Honduras,591,29,58,478,60,6,55,8
Uruguay,563,0,369,182,162,3,12,0
Channel Islands,525,2,332,158,3020,201,35,1
San Marino,513,0,64,409,15119,1179,40,0
Georgia,456,12,139,312,114,1,5,0
Sri Lanka,452,35,118,327,21,0.3,7,0
Malta,448,1,249,195,1015,9,4,1
Jordan,444,3,332,105,44,0.7,7,0
Guatemala,430,46,30,389,24,0.6,11,0
Taiwan,429,1,275,148,18,0.3,6,0
R̩union,417,5,300,117,466,0,0,0
DRC,416,22,49,339,5,0.3,28,3
Somalia,390,62,8,364,25,1,18,2
Mayotte,380,26,144,232,1393,15,4,0
Mali,370,45,91,258,18,1,21,0
Kenya,343,7,98,231,6,0.3,14,0
Palestine,342,2,92,248,67,0.4,2,0
Mauritius,331,0,295,27,260,7,9,0
Venezuela,323,5,132,181,11,0.4,10,0
Montenegro,320,1,153,161,510,10,6,0
Isle of Man,308,0,243,47,3622,212,18,0
Tanzania,299,0,48,241,5,0.2,10,0
Jamaica,288,31,28,253,97,2,7,0
El Salvador,274,13,75,191,42,1,8,0
Vietnam,270,0,225,45,3,0,0,0
Equatorial Guinea,258,44,7,250,184,0.7,1,0
Paraguay,223,3,78,136,31,1,9,0
Sudan,213,39,19,177,5,0.4,17,1
Congo,200,0,19,175,36,1,6,0
Faeroe Islands,187,0,178,9,3827,0,0,0
Rwanda,183,7,88,95,14,0,0,0
Maldives,177,48,17,160,327,0,0,0
Gabon,176,4,30,143,79,1,3,0
Martinique,175,5,77,84,466,37,14,0
Guadeloupe,149,0,82,55,372,30,12,0
